username,pass1,pass2,exp_result,comment
sfmbzctxowjicgcqduspziop tdpvitcusnhgoulzhpgxxliju,mhvhsggaonckxiuomkgq,mhvhsggaonckxiuomkgq,False,(Юзернейм 50 символов нижнего регистра с пробелом) – (Пароль 20 символов нижнего регистра) – (Пароли совпадают)
sfmbzctxowjicgcqduspzioptdpvitcusnhgoulzhpgxxlijum,mhvhsgga onckxiuomkg,mhvhsgga onckxiuomkg,False,(Юзернейм 50 символов нижнего регистра) – (Пароль 20 символов нижнего регистра с пробелом) – (Пароли совпадают)
sfmbzctxowjicgcqduspzioptdpvitcusnhgoulzhpgxxlijum,mhvhsggaonckxiuomkgw,mhvhsggaonckxiuomkgq,False,(Юзернейм 50 символов нижнего регистра) – (Пароль 20 символов нижнего регистра) – (Пароли не совпадают)
Null,mhvhsggaonckxiuomkgq,mhvhsggaonckxiuomkgq,False,(Юзернейм пустой) – (Пароль 20 символов нижнего регистра) – (Пароли совпадают)
sfmbzctxowjicgcqduspzioptdpvitcusnhgoulzhpgxxlijum,Null,Null,False,(Юзернейм 50 символов нижнего регистра) – (Пароль пустой) – (Пароли совпадают)
<script>alert('xss');</script>,mhvhsggaonckxiuomkgq,mhvhsggaonckxiuomkgq,False,(Юзернейм базовая XSS инъекция)
sfmbzctxowjicgcqduspzioptdpvitcusnhgoulzhpgxxlijum,<script>alert('xss');</script>,mhvhsggaonckxiuomkgq,False,(Пароль1 базовая XSS инъекция)
sfmbzctxowjicgcqduspzioptdpvitcusnhgoulzhpgxxlijum,mhvhsggaonckxiuomkgq,<script>alert('xss');</script>,False,(Пароль2 базовая XSS инъекция)
'); SELECT * FROM users; ),mhvhsggaonckxiuomkgq,mhvhsggaonckxiuomkgq,False,(Юзернейм базовая Sql инъекция)
sfmbzctxowjicgcqduspzioptdpvitcusnhgoulzhpgxxlijum,'); SELECT * FROM users; ),mhvhsggaonckxiuomkgq,False,(Пароль1 базовая Sql инъекция)
sfmbzctxowjicgcqduspzioptdpvitcusnhgoulzhpgxxlijum,mhvhsggaonckxiuomkgq,'); SELECT * FROM users; ),False,(Пароль2 базовая Sql инъекция)
<b></b>,mhvhsggaonckxiuomkgq,mhvhsggaonckxiuomkgq,False,(Юзернейм HTML-тег)
sfmbzctxowjicgcqduspzioptdpvitcusnhgoulzhpgxxlijum,<b></b>,mhvhsggaonckxiuomkgq,False,(Пароль1 HTML-тег)
sfmbzctxowjicgcqduspzioptdpvitcusnhgoulzhpgxxlijum,mhvhsggaonckxiuomkgq,<b></b>,False,(Пароль2 HTML-тег)
